id,text_vi,text_ascii,specialty_name_vi,disease_name_vi,source_text,source_name,source_url,source_type,language,translation_method,review_status,notes
12,Mat toi bi do cay va nhin mo tu sang,mat toi bi do cay va nhin mo tu sang,Mat,Viem ket mac,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
13,Toi hay chay nuoc mat va dau mat khi doc sach,toi hay chay nuoc mat va dau mat khi doc sach,Mat,Kho mat,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
14,Em bi mo mat kem ngua mat va do mat,em bi mo mat kem ngua mat va do mat,Mat,Viem ket mac,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
15,Toi bi dau hong so mui va nghet mui lien tuc,toi bi dau hong so mui va nghet mui lien tuc,Tai mui hong,Viem hong,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
16,Tai toi u va hong bi rat khi nuot,tai toi u va hong bi rat khi nuot,Tai mui hong,Viem hong,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
17,Toi ho nghet mui va dau o vung xoang,toi ho nghet mui va dau o vung xoang,Tai mui hong,Viem xoang,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
18,Lung toi dau am i va nhuc xuong sau khi khieng nang,lung toi dau am i va nhuc xuong sau khi khieng nang,Xuong khop,Dau cot song that lung,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
19,Toi bi dau goi va dau khop khi di cau thang,toi bi dau goi va dau khop khi di cau thang,Xuong khop,Thoai hoa khop,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
20,Em hay te tay te chan va dau vung cot song,em hay te tay te chan va dau vung cot song,Xuong khop,Dau cot song that lung,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
21,Toi bi vai gay va nhuc khop vai khi xoay tay,toi bi vai gay va nhuc khop vai khi xoay tay,Xuong khop,Thoai hoa khop,,internal_rule_seed,,seed_vi,vi,manual_from_project_keywords,needs_medical_review,Seed tao tu rule keywords hien co
22,Toi bi sot nhe kem ho khan va nguoi met moai,toi bi sot nhe kem ho khan va nguoi met moai,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta noi tong quat
23,Em thay dau hong va lanh nguoi tu hom qua,em thay dau hong va lanh nguoi tu hom qua,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta noi tong quat
24,Toi ho nhieu kem nhuc dau va met moi,toi ho nhieu kem nhuc dau va met moi,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta noi tong quat
25,May ngay nay toi sot va kho tho nhe khi van dong,may ngay nay toi sot va kho tho nhe khi van dong,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta noi tong quat
26,Toi bi cam kem nong lanh va dau dau,toi bi cam kem nong lanh va dau dau,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta noi tong quat
27,Em thay nhuc dau va viem hong nhe kem met,em thay nhuc dau va viem hong nhe kem met,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta noi tong quat
28,Toi met moi ho va co cam giac sot am i,toi met moi ho va co cam giac sot am i,Noi tong quat,Cam cum,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta noi tong quat
29,Toi dau bung tung con sau bua an va hay buon non,toi dau bung tung con sau bua an va hay buon non,Tieu hoa,Viem da day,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tieu hoa
30,Em day hoi kho tieu va non nao vao buoi toi,em day hoi kho tieu va non nao vao buoi toi,Tieu hoa,Viem da day,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tieu hoa
31,Toi dau da day kem buon non moi khi an do la,toi dau da day kem buon non moi khi an do la,Tieu hoa,Viem da day,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tieu hoa
32,Gan day toi tieu chay va dau bung nhieu lan trong ngay,gan day toi tieu chay va dau bung nhieu lan trong ngay,Tieu hoa,Roi loan tieu hoa,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tieu hoa
33,Toi thuong xuyen tao bon kem cam giac day bung,toi thuong xuyen tao bon kem cam giac day bung,Tieu hoa,Roi loan tieu hoa,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tieu hoa
34,Em bi non oi va kho tieu sau khi an,em bi non oi va kho tieu sau khi an,Tieu hoa,Viem da day,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tieu hoa
35,Toi hay dau bung tren va day hoi vao ban dem,toi hay dau bung tren va day hoi vao ban dem,Tieu hoa,Trao nguoc da day,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tieu hoa
36,Toi thay tuc nguc va tim dap nhanh khi lam viec nang,toi thay tuc nguc va tim dap nhanh khi lam viec nang,Tim mach,Dau that nguc,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tim mach
37,Em bi hoi hop va kho tho khi leo cau thang,em bi hoi hop va kho tho khi leo cau thang,Tim mach,Dau that nguc,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tim mach
38,Toi dau nguc thoang qua kem met tim va choang vang,toi dau nguc thoang qua kem met tim va choang vang,Tim mach,Dau that nguc,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tim mach
39,Toi co cam giac tim dap nhanh va tuc o nguc,toi co cam giac tim dap nhanh va tuc o nguc,Tim mach,Dau that nguc,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tim mach
40,Huyet ap toi hay cao va nguoi rat met,huet ap toi hay cao va nguoi rat met,Tim mach,Tang huyet ap,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tim mach
41,Toi hay kho tho va hoi hop vao buoi dem,toi hay kho tho va hoi hop vao buoi dem,Tim mach,Dau that nguc,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tim mach
42,Em dau nguc nhe nhung tim dap nhanh bat thuong,em dau nguc nhe nhung tim dap nhanh bat thuong,Tim mach,Dau that nguc,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tim mach
43,Da toi noi nhieu man do va ngua khap tay chan,da toi noi nhieu man do va ngua khap tay chan,Da lieu,Di ung da,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta da lieu
44,Toi bi di ung da va phat ban sau khi dung my pham,toi bi di ung da va phat ban sau khi dung my pham,Da lieu,Di ung da,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta da lieu
45,Em co vung da bi viem va noi mun nho,em co vung da bi viem va noi mun nho,Da lieu,Viem da co dia,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta da lieu
46,Toi rat ngua da vao ban dem va co vet man do,toi rat ngua da vao ban dem va co vet man do,Da lieu,Di ung da,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta da lieu
47,Da mat toi len nhieu mun va bi do keo dai,da mat toi len nhieu mun va bi do keo dai,Da lieu,Viem da co dia,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta da lieu
48,Toi bi nam da nhe kem ngua va bong troc,toi bi nam da nhe kem ngua va bong troc,Da lieu,Viem da co dia,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta da lieu
49,Em thay da bi kich ung va phat ban sau khi an la,em thay da bi kich ung va phat ban sau khi an la,Da lieu,Di ung da,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta da lieu
50,Mat toi cay va do nhieu khi ngoi dieu hoa,mat toi cay va do nhieu khi ngoi dieu hoa,Mat,Kho mat,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta mat
51,Toi nhin mo va chay nuoc mat vao buoi sang,toi nhin mo va chay nuoc mat vao buoi sang,Mat,Viem ket mac,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta mat
52,Em bi do mat va dau mat nhe khi hoc bai,em bi do mat va dau mat nhe khi hoc bai,Mat,Viem ket mac,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta mat
53,Toi hay ngua mat va cay mat khi ra duong,toi hay ngua mat va cay mat khi ra duong,Mat,Kho mat,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta mat
54,Mat toi mo va rat kho chiu kem chay nuoc mat,mat toi mo va rat kho chiu kem chay nuoc mat,Mat,Viem ket mac,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta mat
55,Toi bi dau vung quanh mat va nhin hoi mo,toi bi dau vung quanh mat va nhin hoi mo,Mat,Viem ket mac,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta mat
56,Em thay mat do va cay sau khi dung may tinh lau,em thay mat do va cay sau khi dung may tinh lau,Mat,Kho mat,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta mat
57,Toi nghet mui ho va dau hong suot may ngay nay,toi nghet mui ho va dau hong suot may ngay nay,Tai mui hong,Viem hong,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tai mui hong
58,Em bi so mui kem viem hong va kho nuot,em bi so mui kem viem hong va kho nuot,Tai mui hong,Viem hong,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tai mui hong
59,Toi thay tai u va mui nghep vao buoi toi,toi thay tai u va mui nghep vao buoi toi,Tai mui hong,Viem xoang,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tai mui hong
60,Toi dau hong nghet mui va hay ho ve dem,toi dau hong nghet mui va hay ho ve dem,Tai mui hong,Viem hong,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tai mui hong
61,Em bi viem hong nhe kem so mui va khan tieng,em bi viem hong nhe kem so mui va khan tieng,Tai mui hong,Viem hong,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tai mui hong
62,Toi nghet mui keo dai kem dau vung tran,toi nghet mui keo dai kem dau vung tran,Tai mui hong,Viem xoang,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tai mui hong
63,Toi ho dau hong va thay mui hong rat kho chiu,toi ho dau hong va thay mui hong rat kho chiu,Tai mui hong,Viem hong,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta tai mui hong
64,Lung duoi cua toi dau khi dung lau va khom nguoi,lung duoi cua toi dau khi dung lau va khom nguoi,Xuong khop,Dau cot song that lung,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta xuong khop
65,Toi nhuc khop goi va di lai thay cung kho,toi nhuc khop goi va di lai thay cung kho,Xuong khop,Thoai hoa khop,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta xuong khop
66,Em bi te chan va dau khop sau khi ngoi lau,em bi te chan va dau khop sau khi ngoi lau,Xuong khop,Dau cot song that lung,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta xuong khop
67,Toi dau vai gay va xoay co rat kho,toi dau vai gay va xoay co rat kho,Xuong khop,Thoai hoa khop,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta xuong khop
68,Toi bi dau khop co tay va nhuc xuong khi troi lanh,toi bi dau khop co tay va nhuc xuong khi troi lanh,Xuong khop,Thoai hoa khop,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta xuong khop
69,Em thay cot song va lung rat moi sau khi ngoi may tinh,em thay cot song va lung rat moi sau khi ngoi may tinh,Xuong khop,Dau cot song that lung,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta xuong khop
70,Toi dau khop nhieu o dau goi va te tay nhe,toi dau khop nhieu o dau goi va te tay nhe,Xuong khop,Thoai hoa khop,,internal_rule_seed,,seed_vi,vi,manual_synthetic_from_rules,needs_medical_review,Bien the cau mo ta xuong khop
